Code,Benchmark Code,Fees
ACMESIE LX Equity,NDDLE15 Index,1.09
RCMSTYL LX Equity,SX5T Index,0.71
ALEPTEU LX Equity,STGPREZU Index,1
AEEI2EC LX Equity,#N/A Field Not Applicable,2.5
CAIXEIA LX Equity,MXEU Index,0.15
AXWEOFC LX Equity,MXEU Index,1
AXWECEI LX Equity,SXXT Index,0.76
MEREMAI LX Equity,M7EM Index,1.8181
ETDD FP Equity,SX5T Index,0.18
CSEMICE LX Equity,MXEM Index,0.65
CSESDBEL LX Equity,NE700862 Index,0.18
CSIEEDE LX Equity,MSDEEMUN Index,0.15
PAMEULF BB Equity,NDDLEMU Index,0.92
DIICEIC LX Equity,#N/A Field Not Applicable,0.59
DWSTEFC LX Equity,SX5T Index,0.83
STHOPMI FP Equity,MXEM Index,1.15
FIDFEBI LX Equity,MXEM Index,1.92
FJ2C GR Equity,DJST Index,1.01
GEQ50AD LX Equity,SX5E Index,0.29
HSBEURQ LX Equity,MSDUEMU Index,1.85
HSBCLGI LX Equity,MSDUEMU Index,1
BGEURAX LX Equity,#N/A Field Not Applicable,2.7
HENEUDI LX Equity,FTAW12 Index,1.85
JPEDCAC LX Equity,MSDEEMUN Index,0.95
FLEEUEC LX Equity,MXEM Index,0.85
SGEURIE LX Equity,SXXT Index,0.15
METVSRI FP Equity,LCXE Index,1.5
MEZEI1E ID Equity,#N/A Field Not Applicable,0.59
NATISRI LX Equity,MXEM Index,0.9
MOREFAI LX Equity,M1EU Index,1.64
INGEHDI LX Equity,MXEM Index,0.81
PIPTFEI LX Equity,MXEU Index,0.27
SIEEACE LX Equity,#N/A Field Not Applicable,1.35
SSEIIEU LX Equity,#N/A Field Not Applicable,0.26
SSGFESI LX Equity,MSDEE15N Index,0.85
TEMGRIA LX Equity,MSDUEMU Index,0.93
UBSEITL LX Equity,#N/A Field Not Applicable,1.87
UECIEQD LX Equity,#N/A Field Not Applicable,1.05
UGEURSA LX Equity,#N/A Field Not Applicable,1.5
VANESII ID Equity,MXEM Index,0.12
